Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_23_9,VGND,li1,9.8900,76.1600,0.000055
FILLER_23_3,VGND,li1,8.2800,76.1600,0.000055
FILLER_22_155,VGND,li1,77.5100,70.7200,0.000083
FILLER_22_147,VGND,li1,74.9800,70.7200,0.000082
FILLER_22_137,VGND,li1,69.2300,70.7200,0.000080
FILLER_22_126,VGND,li1,64.1700,70.7200,0.000079
FILLER_22_112,VGND,li1,58.8800,70.7200,0.000076
FILLER_22_97,VGND,li1,50.3700,70.7200,0.000071
FILLER_22_93,VGND,li1,49.2200,70.7200,0.000071
FILLER_22_83,VGND,li1,43.9300,70.7200,0.000067
FILLER_22_29,VGND,li1,19.0900,70.7200,0.000027
FILLER_22_21,VGND,li1,16.1000,70.7200,0.000027
FILLER_22_7,VGND,li1,8.9700,70.7200,0.000027
FILLER_22_3,VGND,li1,7.8200,70.7200,0.000027
FILLER_21_177,VGND,li1,87.1700,70.7200,0.000084
FILLER_21_169,VGND,li1,85.1000,70.7200,0.000084
FILLER_21_167,VGND,li1,82.5700,70.7200,0.000084
FILLER_21_163,VGND,li1,81.4200,70.7200,0.000084
FILLER_21_156,VGND,li1,77.7400,70.7200,0.000083
FILLER_21_141,VGND,li1,72.2200,70.7200,0.000081
FILLER_21_113,VGND,li1,57.7300,70.7200,0.000076
FILLER_21_108,VGND,li1,56.1200,70.7200,0.000074
FILLER_21_90,VGND,li1,47.6100,70.7200,0.000069
FILLER_21_79,VGND,li1,42.3200,70.7200,0.000067
FILLER_21_57,VGND,li1,32.2000,70.7200,0.000042
FILLER_21_53,VGND,li1,30.5900,70.7200,0.000042
FILLER_21_45,VGND,li1,28.0600,70.7200,0.000035
FILLER_21_33,VGND,li1,23.4600,70.7200,0.000027
FILLER_21_28,VGND,li1,18.8600,70.7200,0.000027
FILLER_21_20,VGND,li1,16.5600,70.7200,0.000027
FILLER_21_7,VGND,li1,8.9700,70.7200,0.000027
FILLER_21_3,VGND,li1,7.8200,70.7200,0.000027
FILLER_20_153,VGND,li1,76.1300,65.2800,0.000085
FILLER_20_141,VGND,li1,71.0700,65.2800,0.000083
FILLER_20_139,VGND,li1,69.6900,65.2800,0.000082
FILLER_20_133,VGND,li1,68.0800,65.2800,0.000082
FILLER_20_123,VGND,li1,62.5600,65.2800,0.000079
FILLER_20_114,VGND,li1,58.4200,65.2800,0.000076
FILLER_20_93,VGND,li1,48.5300,65.2800,0.000070
FILLER_20_83,VGND,li1,43.9300,65.2800,0.000067
FILLER_20_77,VGND,li1,42.3200,65.2800,0.000065
FILLER_20_65,VGND,li1,38.1800,65.2800,0.000062
FILLER_20_53,VGND,li1,32.6600,65.2800,0.000047
FILLER_20_41,VGND,li1,27.1400,65.2800,0.000035
FILLER_20_29,VGND,li1,21.6200,65.2800,0.000028
FILLER_20_26,VGND,li1,17.9400,65.2800,0.000028
FILLER_20_18,VGND,li1,15.6400,65.2800,0.000028
FILLER_20_3,VGND,li1,8.7400,65.2800,0.000028
FILLER_19_173,VGND,li1,85.3300,65.2800,0.000087
FILLER_19_169,VGND,li1,84.1800,65.2800,0.000087
FILLER_19_166,VGND,li1,82.3400,65.2800,0.000087
FILLER_19_151,VGND,li1,75.2100,65.2800,0.000084
FILLER_19_130,VGND,li1,65.5500,65.2800,0.000080
FILLER_19_124,VGND,li1,63.9400,65.2800,0.000079
FILLER_19_113,VGND,li1,57.9600,65.2800,0.000075
FILLER_19_110,VGND,li1,56.5800,65.2800,0.000075
FILLER_19_98,VGND,li1,53.3600,65.2800,0.000073
FILLER_19_77,VGND,li1,41.1700,65.2800,0.000065
FILLER_19_51,VGND,li1,29.2100,65.2800,0.000041
FILLER_19_45,VGND,li1,27.6000,65.2800,0.000035
FILLER_19_21,VGND,li1,15.4100,65.2800,0.000028
FILLER_19_15,VGND,li1,13.8000,65.2800,0.000028
FILLER_19_3,VGND,li1,9.6600,65.2800,0.000028
